date;id_magasin;id_ticket;heure;id_client;produit;category;prix_unitaire;qte;produit;category;prix_unitaire;qte;produit;category;prix_unitaire;qte;produit;category;prix_unitaire;qte;produit;category;prix_unitaire;qte
2017-12-01;1247;124718;12:35:01;140;baguette;pain;0,9;3;cristaline;eau;1,2;2;Candia;lait;1,2;2;couches;enfant;7,9;2;;;;
2017-12-01;1247;124719;12:45:01;141;ampoule;bazare;7,9;2;cristaline;eau;1,2;2;cabillaud;poisson;6,7;2;;;;;;;;
2017-12-01;1247;124720;12:55:01;142;cabillaud;poisson;6,7;2;perrier;eau;3;1;;;;;;;;;;;;
2017-12-01;1247;124721;13:05:01;143;activia;yaourt;3,5;1;cola;soda;1,3;1;farine;farine;0,8;1;couches;enfant;7,9;2;;;;
2017-12-01;1247;124722;13:15:01;123;cola;soda;1,3;1;granola;dejeuner;1,8;1;possette;enfant;300;1;couches;enfant;7,9;2;;;;
2017-12-01;1247;124723;13:25:01;124;parmesan;fromage;2;1;abricot;fruits;1,8;2;couches;enfant;7,9;2;;;;;;;;
2017-12-01;1247;124724;13:35:01;125;farine;farine;0,8;1;adoucissant;entretient maison;3;2;cristaline;eau;1,2;1;;;;;;;;
2017-12-01;1247;124725;13:45:01;126;Candia;lait;1,2;2;liquide vaisselle;entretient maison;1,8;2;;;;;;;;;;;;
2017-12-01;1247;124726;13:55:01;127;couches;enfant;7,9;2;baguette;pain;0,9;3;cristaline;eau;1,2;2;couches;enfant;7,9;2;couches;enfant;7,9;2
2017-12-01;1247;124727;14:05:01;128;cristaline;eau;1,2;2;cristaline;eau;1,2;2;;;;;;;;;;;;
2017-12-01;1247;124728;14:15:01;129;perrier;eau;3;1;perrier;eau;3;1;;;;;;;;;;;;
2017-12-01;1247;124729;14:25:01;130;orangina;soda;1,8;2;Candia;lait;1,2;2;couches;enfant;7,9;2;;;;;;;;
2017-12-01;1247;124730;14:35:01;131;fanta;soda;2;2;Candia;lait;1,2;2;couches;enfant;7,9;2;;;;;;;;
2017-12-01;1247;124731;14:45:01;132;possette;enfant;300;1;couches;enfant;7,9;2;;;;;;;;;;;;
2017-12-01;1247;124732;14:55:01;133;couches;enfant;7,9;2;cristaline;eau;1,2;2;Candia;lait;1,2;2;couches;enfant;7,9;2;;;;
2017-12-01;1247;124733;15:05:01;134;Iphone 10;hi-tech;899;1;perrier;eau;3;1;;;;;;;;;;;;
2017-12-01;1247;124734;15:15:01;135;Ipad;hi-tech;599;1;couches;enfant;7,9;2;;;;;;;;;;;;
2017-12-01;1247;124735;15:25:01;136;granola;dejeuner;1,8;1;baguette;pain;0,9;3;cristaline;eau;1,2;2;couches;enfant;7,9;2;;;;
2017-12-01;1247;124736;15:35:01;137;abricot;fruits;1,8;2;ampoule;bazare;7,9;2;;;;;;;;;;;;
2017-12-01;1247;124737;15:45:01;138;cristaline;eau;1,2;2;couches;enfant;7,9;2;;;;;;;;;;;;
2017-12-01;1247;124738;15:55:01;139;perrier;eau;3;1;couches;enfant;7,9;2;;;;;;;;;;;;
2017-12-01;1247;124739;16:05:01;140;baguette;pain;0,9;3;cristaline;eau;1,2;2;Candia;lait;1,2;2;couches;enfant;7,9;2;;;;
2017-12-01;1247;124740;16:15:01;141;ampoule;bazare;7,9;2;cristaline;eau;1,2;2;cabillaud;poisson;6,7;2;;;;;;;;
2017-12-01;1247;124741;16:25:01;142;cabillaud;poisson;6,7;2;perrier;eau;3;1;;;;;;;;;;;;
2017-12-01;1247;124742;16:35:01;143;activia;yaourt;3,5;1;cola;soda;1,3;1;farine;farine;0,8;1;couches;enfant;7,9;2;;;;
2017-12-01;1247;124743;16:45:01;123;cola;soda;1,3;1;granola;dejeuner;1,8;1;possette;enfant;300;1;couches;enfant;7,9;2;;;;
2017-12-01;1247;124744;16:55:01;124;parmesan;fromage;2;1;abricot;fruits;1,8;2;couches;enfant;7,9;2;;;;;;;;
2017-12-01;1247;124745;17:05:01;125;farine;farine;0,8;1;adoucissant;entretient maison;3;2;cristaline;eau;1,2;1;;;;;;;;
2017-12-01;1247;124746;17:15:01;126;Candia;lait;1,2;2;liquide vaisselle;entretient maison;1,8;2;;;;;;;;;;;;
2017-12-01;1247;124747;17:25:01;127;couches;enfant;7,9;2;baguette;pain;0,9;3;cristaline;eau;1,2;2;couches;enfant;7,9;2;couches;enfant;7,9;2
2017-12-01;1247;124748;17:35:01;128;cristaline;eau;1,2;2;cristaline;eau;1,2;2;;;;;;;;;;;;
2017-12-01;1247;124749;17:45:01;129;perrier;eau;3;1;perrier;eau;3;1;;;;;;;;;;;;
2017-12-01;1247;124750;17:55:01;130;orangina;soda;1,8;2;Candia;lait;1,2;2;couches;enfant;7,9;2;;;;;;;;
2017-12-01;1247;124751;18:05:01;131;fanta;soda;2;2;Candia;lait;1,2;2;couches;enfant;7,9;2;;;;;;;;
2017-12-01;1247;124752;18:15:01;132;possette;enfant;300;1;couches;enfant;7,9;2;;;;;;;;;;;;
2017-12-01;1247;124753;18:25:01;133;couches;enfant;7,9;2;cristaline;eau;1,2;2;Candia;lait;1,2;2;couches;enfant;7,9;2;;;;
2017-12-01;1247;124754;18:35:01;134;Iphone 10;hi-tech;899;1;perrier;eau;3;1;;;;;;;;;;;;
2017-12-01;1247;124755;18:45:01;135;Ipad;hi-tech;599;1;couches;enfant;7,9;2;;;;;;;;;;;;
2017-12-01;1247;124756;18:55:01;136;granola;dejeuner;1,8;1;baguette;pain;0,9;3;cristaline;eau;1,2;2;couches;enfant;7,9;2;;;;
2017-12-01;1247;124757;19:05:01;137;abricot;fruits;1,8;2;ampoule;bazare;7,9;2;;;;;;;;;;;;
2017-12-01;1247;124758;19:15:01;138;cristaline;eau;1,2;2;couches;enfant;7,9;2;;;;;;;;;;;;
2017-12-01;1247;124759;19:25:01;139;perrier;eau;3;1;couches;enfant;7,9;2;;;;;;;;;;;;
2017-12-01;1247;124760;19:35:01;140;baguette;pain;0,9;3;cristaline;eau;1,2;2;Candia;lait;1,2;2;couches;enfant;7,9;2;;;;
2017-12-01;1247;124761;19:45:01;141;ampoule;bazare;7,9;2;cristaline;eau;1,2;2;cabillaud;poisson;6,7;2;;;;;;;;
2017-12-01;1247;124762;19:55:01;142;cabillaud;poisson;6,7;2;perrier;eau;3;1;;;;;;;;;;;;
2017-12-01;1247;124763;20:05:01;143;activia;yaourt;3,5;1;cola;soda;1,3;1;farine;farine;0,8;1;couches;enfant;7,9;2;;;;
2017-12-01;1247;124764;20:15:01;123;cola;soda;1,3;1;granola;dejeuner;1,8;1;possette;enfant;300;1;couches;enfant;7,9;2;;;;
2017-12-01;9999;999965;20:25:01;124;parmesan;fromage;2;1;abricot;fruits;1,8;2;couches;enfant;7,9;2;;;;;;;;
2017-12-01;9999;999966;20:35:01;125;farine;farine;0,8;1;adoucissant;entretient maison;3;2;cristaline;eau;1,2;1;;;;;;;;
2017-12-01;9999;999967;20:45:01;126;Candia;lait;1,2;2;liquide vaisselle;entretient maison;1,8;2;;;;;;;;;;;;
2017-12-01;9999;999968;20:55:01;127;couches;enfant;7,9;2;baguette;pain;0,9;3;cristaline;eau;1,2;2;couches;enfant;7,9;2;couches;enfant;7,9;2
2017-12-01;9999;999969;21:05:01;128;cristaline;eau;1,2;2;cristaline;eau;1,2;2;;;;;;;;;;;;
2017-12-01;9999;999970;21:15:01;129;perrier;eau;3;1;perrier;eau;3;1;;;;;;;;;;;;
2017-12-01;9999;999971;21:25:01;130;orangina;soda;1,8;2;Candia;lait;1,2;2;couches;enfant;7,9;2;;;;;;;;
2017-12-01;9999;999972;21:35:01;131;fanta;soda;2;2;Candia;lait;1,2;2;couches;enfant;7,9;2;;;;;;;;
2017-12-01;9999;999973;21:45:01;132;possette;enfant;300;1;couches;enfant;7,9;2;;;;;;;;;;;;
2017-12-01;9999;999974;21:55:01;133;couches;enfant;7,9;2;cristaline;eau;1,2;2;Candia;lait;1,2;2;couches;enfant;7,9;2;;;;
2017-12-01;9999;999975;22:05:01;134;Iphone 10;hi-tech;899;1;perrier;eau;3;1;;;;;;;;;;;;
2017-12-01;9999;999976;22:15:01;135;Ipad;hi-tech;599;1;couches;enfant;7,9;2;;;;;;;;;;;;
2017-12-01;9999;999977;22:25:01;136;granola;dejeuner;1,8;1;baguette;pain;0,9;3;cristaline;eau;1,2;2;couches;enfant;7,9;2;;;;
2017-12-01;9999;999978;22:35:01;137;abricot;fruits;1,8;2;ampoule;bazare;7,9;2;;;;;;;;;;;;
2017-12-01;9999;999979;22:45:01;138;cristaline;eau;1,2;2;couches;enfant;7,9;2;;;;;;;;;;;;
2017-12-01;9999;999980;22:55:01;139;perrier;eau;3;1;couches;enfant;7,9;2;;;;;;;;;;;;
2017-12-01;9999;999981;23:05:01;140;baguette;pain;0,9;3;cristaline;eau;1,2;2;Candia;lait;1,2;2;couches;enfant;7,9;2;;;;
2017-12-01;9999;999982;23:15:01;141;ampoule;bazare;7,9;2;cristaline;eau;1,2;2;cabillaud;poisson;6,7;2;;;;;;;;
2017-12-01;9999;999983;23:25:01;142;cabillaud;poisson;6,7;2;perrier;eau;3;1;;;;;;;;;;;;
2017-12-01;9999;999984;23:35:01;143;activia;yaourt;3,5;1;cola;soda;1,3;1;farine;farine;0,8;1;couches;enfant;7,9;2;;;;
2017-12-01;9999;999985;23:45:01;123;cola;soda;1,3;1;granola;dejeuner;1,8;1;possette;enfant;300;1;couches;enfant;7,9;2;;;;
2017-12-01;9999;999986;23:55:01;124;parmesan;fromage;2;1;abricot;fruits;1,8;2;couches;enfant;7,9;2;;;;;;;;
2017-12-01;9999;999987;00:05:01;125;farine;farine;0,8;1;adoucissant;entretient maison;3;2;cristaline;eau;1,2;1;;;;;;;;
2017-12-01;9999;999988;00:15:01;126;Candia;lait;1,2;2;liquide vaisselle;entretient maison;1,8;2;;;;;;;;;;;;
2017-12-01;9999;999989;00:25:01;127;couches;enfant;7,9;2;baguette;pain;0,9;3;cristaline;eau;1,2;2;couches;enfant;7,9;2;couches;enfant;7,9;2
2017-12-01;9999;999990;00:35:01;128;cristaline;eau;1,2;2;cristaline;eau;1,2;2;;;;;;;;;;;;
2017-12-01;9999;999991;00:45:01;129;perrier;eau;3;1;perrier;eau;3;1;;;;;;;;;;;;
2017-12-01;9999;999992;00:55:01;130;orangina;soda;1,8;2;Candia;lait;1,2;2;couches;enfant;7,9;2;;;;;;;;
2017-12-01;9999;999993;01:05:01;131;fanta;soda;2;2;Candia;lait;1,2;2;couches;enfant;7,9;2;;;;;;;;
2017-12-01;9999;999994;01:15:01;132;possette;enfant;300;1;couches;enfant;7,9;2;;;;;;;;;;;;
2017-12-01;9999;999995;01:25:01;133;couches;enfant;7,9;2;cristaline;eau;1,2;2;Candia;lait;1,2;2;couches;enfant;7,9;2;;;;
2017-12-01;9999;999996;01:35:01;134;Iphone 10;hi-tech;899;1;perrier;eau;3;1;;;;;;;;;;;;
2017-12-01;9999;999997;01:45:01;135;Ipad;hi-tech;599;1;couches;enfant;7,9;2;;;;;;;;;;;;
2017-12-01;9999;999998;01:55:01;136;granola;dejeuner;1,8;1;baguette;pain;0,9;3;cristaline;eau;1,2;2;couches;enfant;7,9;2;;;;
2017-12-01;9999;999999;02:05:01;137;abricot;fruits;1,8;2;ampoule;bazare;7,9;2;;;;;;;;;;;;
2017-12-01;9999;9999100;02:15:01;138;cristaline;eau;1,2;2;couches;enfant;7,9;2;;;;;;;;;;;;
2017-12-01;4578;4578101;02:25:01;139;perrier;eau;3;1;couches;enfant;7,9;2;;;;;;;;;;;;
2017-12-01;4578;4578102;02:35:01;140;baguette;pain;0,9;3;cristaline;eau;1,2;2;Candia;lait;1,2;2;couches;enfant;7,9;2;;;;
2017-12-01;4578;4578103;02:45:01;141;ampoule;bazare;7,9;2;cristaline;eau;1,2;2;cabillaud;poisson;6,7;2;;;;;;;;
2017-12-01;4578;4578104;02:55:01;142;cabillaud;poisson;6,7;2;perrier;eau;3;1;;;;;;;;;;;;
2017-12-01;4578;4578105;03:05:01;143;activia;yaourt;3,5;1;cola;soda;1,3;1;farine;farine;0,8;1;couches;enfant;7,9;2;;;;
2017-12-01;4578;4578106;03:15:01;123;cola;soda;1,3;1;granola;dejeuner;1,8;1;possette;enfant;300;1;couches;enfant;7,9;2;;;;
2017-12-01;4578;4578107;03:25:01;124;parmesan;fromage;2;1;abricot;fruits;1,8;2;couches;enfant;7,9;2;;;;;;;;
2017-12-01;4578;4578108;03:35:01;125;farine;farine;0,8;1;adoucissant;entretient maison;3;2;cristaline;eau;1,2;1;;;;;;;;
2017-12-01;4578;4578109;03:45:01;126;Candia;lait;1,2;2;liquide vaisselle;entretient maison;1,8;2;;;;;;;;;;;;
2017-12-01;4578;4578110;03:55:01;127;couches;enfant;7,9;2;baguette;pain;0,9;3;cristaline;eau;1,2;2;couches;enfant;7,9;2;couches;enfant;7,9;2
2017-12-01;4578;4578111;04:05:01;128;cristaline;eau;1,2;2;cristaline;eau;1,2;2;;;;;;;;;;;;
2017-12-01;4578;4578112;04:15:01;129;perrier;eau;3;1;perrier;eau;3;1;;;;;;;;;;;;
2017-12-01;4578;4578113;04:25:01;130;orangina;soda;1,8;2;Candia;lait;1,2;2;couches;enfant;7,9;2;;;;;;;;
2017-12-01;4578;4578114;04:35:01;131;fanta;soda;2;2;Candia;lait;1,2;2;couches;enfant;7,9;2;;;;;;;;
2017-12-01;4578;4578115;04:45:01;132;possette;enfant;300;1;couches;enfant;7,9;2;;;;;;;;;;;;
2017-12-01;4578;4578116;04:55:01;133;couches;enfant;7,9;2;cristaline;eau;1,2;2;Candia;lait;1,2;2;couches;enfant;7,9;2;;;;
2017-12-01;4578;4578117;05:05:01;134;Iphone 10;hi-tech;899;1;perrier;eau;3;1;;;;;;;;;;;;
2017-12-01;4578;4578118;05:15:01;135;Ipad;hi-tech;599;1;couches;enfant;7,9;2;;;;;;;;;;;;
2017-12-01;4578;4578119;05:25:01;136;granola;dejeuner;1,8;1;baguette;pain;0,9;3;cristaline;eau;1,2;2;couches;enfant;7,9;2;;;;
2017-12-01;4578;4578120;05:35:01;137;abricot;fruits;1,8;2;ampoule;bazare;7,9;2;;;;;;;;;;;;
2017-12-01;4578;4578121;05:45:01;138;cristaline;eau;1,2;2;couches;enfant;7,9;2;;;;;;;;;;;;
2017-12-01;4578;4578122;05:55:01;139;perrier;eau;3;1;couches;enfant;7,9;2;;;;;;;;;;;;
2017-12-01;4578;4578123;06:05:01;140;baguette;pain;0,9;3;cristaline;eau;1,2;2;Candia;lait;1,2;2;couches;enfant;7,9;2;;;;
2017-12-01;4578;4578124;06:15:01;141;ampoule;bazare;7,9;2;cristaline;eau;1,2;2;cabillaud;poisson;6,7;2;;;;;;;;
2017-12-01;4578;4578125;06:25:01;142;cabillaud;poisson;6,7;2;perrier;eau;3;1;;;;;;;;;;;;
2017-12-01;4578;4578126;06:35:01;143;activia;yaourt;3,5;1;cola;soda;1,3;1;farine;farine;0,8;1;couches;enfant;7,9;2;;;;
2017-12-01;4578;4578127;06:45:01;123;cola;soda;1,3;1;granola;dejeuner;1,8;1;possette;enfant;300;1;couches;enfant;7,9;2;;;;
2017-12-01;4578;4578128;06:55:01;124;parmesan;fromage;2;1;abricot;fruits;1,8;2;couches;enfant;7,9;2;;;;;;;;
2017-12-01;4578;4578129;07:05:01;125;farine;farine;0,8;1;adoucissant;entretient maison;3;2;cristaline;eau;1,2;1;;;;;;;;
2017-12-01;4578;4578130;07:15:01;126;Candia;lait;1,2;2;liquide vaisselle;entretient maison;1,8;2;;;;;;;;;;;;
2017-12-01;4578;4578131;07:25:01;127;couches;enfant;7,9;2;baguette;pain;0,9;3;cristaline;eau;1,2;2;couches;enfant;7,9;2;couches;enfant;7,9;2
2017-12-01;4578;4578132;07:35:01;128;cristaline;eau;1,2;2;cristaline;eau;1,2;2;;;;;;;;;;;;
2017-12-01;4578;4578133;07:45:01;129;perrier;eau;3;1;perrier;eau;3;1;;;;;;;;;;;;
2017-12-01;4578;4578134;07:55:01;130;orangina;soda;1,8;2;Candia;lait;1,2;2;couches;enfant;7,9;2;;;;;;;;
2017-12-01;4578;4578135;08:05:01;131;fanta;soda;2;2;Candia;lait;1,2;2;couches;enfant;7,9;2;;;;;;;;
2017-12-01;4578;4578136;08:15:01;132;possette;enfant;300;1;couches;enfant;7,9;2;;;;;;;;;;;;
2017-12-01;4578;4578137;08:25:01;133;couches;enfant;7,9;2;cristaline;eau;1,2;2;Candia;lait;1,2;2;couches;enfant;7,9;2;;;;
2017-12-01;4578;4578138;08:35:01;134;Iphone 10;hi-tech;899;1;perrier;eau;3;1;;;;;;;;;;;;
2017-12-01;4578;4578139;08:45:01;135;Ipad;hi-tech;599;1;couches;enfant;7,9;2;;;;;;;;;;;;
2017-12-01;4578;4578140;08:55:01;136;granola;dejeuner;1,8;1;baguette;pain;0,9;3;cristaline;eau;1,2;2;couches;enfant;7,9;2;;;;
2017-12-01;4578;4578141;09:05:01;137;abricot;fruits;1,8;2;ampoule;bazare;7,9;2;;;;;;;;;;;;
2017-12-01;4578;4578142;09:15:01;138;cristaline;eau;1,2;2;couches;enfant;7,9;2;;;;;;;;;;;;
2017-12-01;4578;4578143;09:25:01;139;perrier;eau;3;1;couches;enfant;7,9;2;;;;;;;;;;;;
2017-12-01;4578;4578144;09:35:01;140;baguette;pain;0,9;3;cristaline;eau;1,2;2;Candia;lait;1,2;2;couches;enfant;7,9;2;;;;
2017-12-01;4578;4578145;09:45:01;141;ampoule;bazare;7,9;2;cristaline;eau;1,2;2;cabillaud;poisson;6,7;2;;;;;;;;
2017-12-01;4578;4578146;09:55:01;142;cabillaud;poisson;6,7;2;perrier;eau;3;1;;;;;;;;;;;;
2017-12-01;4578;4578147;10:05:01;143;activia;yaourt;3,5;1;cola;soda;1,3;1;farine;farine;0,8;1;couches;enfant;7,9;2;;;;
2017-12-01;4578;4578148;10:15:01;144;cola;soda;1,3;1;granola;dejeuner;1,8;1;possette;enfant;300;1;couches;enfant;7,9;2;;;;
2017-12-01;4578;4578149;10:25:01;145;parmesan;fromage;2;1;abricot;fruits;1,8;2;couches;enfant;7,9;2;;;;;;;;
2017-12-01;4578;4578150;10:35:01;146;farine;farine;0,8;1;adoucissant;entretient maison;3;2;cristaline;eau;1,2;1;;;;;;;;
2017-12-01;4578;4578151;10:45:01;147;Candia;lait;1,2;2;liquide vaisselle;entretient maison;1,8;2;;;;;;;;;;;;
2017-12-01;4578;4578152;10:55:01;148;couches;enfant;7,9;2;baguette;pain;0,9;3;cristaline;eau;1,2;2;couches;enfant;7,9;2;couches;enfant;7,9;2
2017-12-01;4578;4578153;11:05:01;149;cristaline;eau;1,2;2;cristaline;eau;1,2;2;;;;;;;;;;;;
2017-12-01;4578;4578154;11:15:01;150;perrier;eau;3;1;perrier;eau;3;1;;;;;;;;;;;;
2017-12-01;4578;4578155;11:25:01;151;orangina;soda;1,8;2;Candia;lait;1,2;2;couches;enfant;7,9;2;;;;;;;;
2017-12-01;4578;4578156;11:35:01;152;fanta;soda;2;2;Candia;lait;1,2;2;couches;enfant;7,9;2;;;;;;;;
2017-12-01;4578;4578157;11:45:01;153;possette;enfant;300;1;couches;enfant;7,9;2;;;;;;;;;;;;
2017-12-01;4578;4578158;11:55:01;154;couches;enfant;7,9;2;cristaline;eau;1,2;2;Candia;lait;1,2;2;couches;enfant;7,9;2;;;;
2017-12-01;4578;4578159;12:05:01;155;Iphone 10;hi-tech;899;1;perrier;eau;3;1;;;;;;;;;;;;
2017-12-01;4578;4578160;12:15:01;156;Ipad;hi-tech;599;1;couches;enfant;7,9;2;;;;;;;;;;;;
2017-12-01;4578;4578161;12:25:01;157;granola;dejeuner;1,8;1;baguette;pain;0,9;3;cristaline;eau;1,2;2;couches;enfant;7,9;2;;;;
2017-12-01;4578;4578162;12:35:01;158;abricot;fruits;1,8;2;ampoule;bazare;7,9;2;;;;;;;;;;;;
2017-12-01;4578;4578163;12:45:01;159;cristaline;eau;1,2;2;couches;enfant;7,9;2;;;;;;;;;;;;
2017-12-01;4578;4578164;12:55:01;160;perrier;eau;3;1;couches;enfant;7,9;2;;;;;;;;;;;;
2017-12-01;4578;4578165;13:05:01;161;baguette;pain;0,9;3;cristaline;eau;1,2;2;Candia;lait;1,2;2;couches;enfant;7,9;2;;;;
2017-12-01;4578;4578166;13:15:01;162;ampoule;bazare;7,9;2;cristaline;eau;1,2;2;cabillaud;poisson;6,7;2;;;;;;;;
2017-12-01;4578;4578167;13:25:01;163;cabillaud;poisson;6,7;2;perrier;eau;3;1;;;;;;;;;;;;
2017-12-01;4578;4578168;13:35:01;164;activia;yaourt;3,5;1;cola;soda;1,3;1;farine;farine;0,8;1;couches;enfant;7,9;2;;;;
2017-12-01;4578;4578169;13:45:01;165;cola;soda;1,3;1;granola;dejeuner;1,8;1;possette;enfant;300;1;couches;enfant;7,9;2;;;;
2017-12-01;4578;4578170;13:55:01;166;parmesan;fromage;2;1;abricot;fruits;1,8;2;couches;enfant;7,9;2;;;;;;;;
2017-12-01;4578;4578171;14:05:01;167;farine;farine;0,8;1;adoucissant;entretient maison;3;2;cristaline;eau;1,2;1;;;;;;;;
2017-12-01;4578;4578172;14:15:01;168;Candia;lait;1,2;2;liquide vaisselle;entretient maison;1,8;2;;;;;;;;;;;;
2017-12-01;4578;4578173;14:25:01;169;couches;enfant;7,9;2;baguette;pain;0,9;3;cristaline;eau;1,2;2;couches;enfant;7,9;2;couches;enfant;7,9;2
2017-12-01;4578;4578174;14:35:01;170;cristaline;eau;1,2;2;cristaline;eau;1,2;2;;;;;;;;;;;;
2017-12-01;4578;4578175;14:45:01;171;perrier;eau;3;1;perrier;eau;3;1;;;;;;;;;;;;
2017-12-01;4578;4578176;14:55:01;172;orangina;soda;1,8;2;Candia;lait;1,2;2;couches;enfant;7,9;2;;;;;;;;
2017-12-01;4578;4578177;15:05:01;173;fanta;soda;2;2;Candia;lait;1,2;2;couches;enfant;7,9;2;;;;;;;;
2017-12-01;4578;4578178;15:15:01;174;possette;enfant;300;1;couches;enfant;7,9;2;;;;;;;;;;;;
2017-12-01;4578;4578179;15:25:01;175;couches;enfant;7,9;2;cristaline;eau;1,2;2;Candia;lait;1,2;2;couches;enfant;7,9;2;;;;
2017-12-01;4578;4578180;15:35:01;176;Iphone 10;hi-tech;899;1;perrier;eau;3;1;;;;;;;;;;;;
2017-12-01;4578;4578181;15:45:01;177;Ipad;hi-tech;599;1;couches;enfant;7,9;2;;;;;;;;;;;;
2017-12-01;4578;4578182;15:55:01;178;granola;dejeuner;1,8;1;baguette;pain;0,9;3;cristaline;eau;1,2;2;couches;enfant;7,9;2;;;;
2017-12-01;4578;4578183;16:05:01;179;abricot;fruits;1,8;2;ampoule;bazare;7,9;2;;;;;;;;;;;;
2017-12-01;4578;4578184;16:15:01;180;cristaline;eau;1,2;2;couches;enfant;7,9;2;;;;;;;;;;;;
2017-12-01;4578;4578185;16:25:01;181;perrier;eau;3;1;couches;enfant;7,9;2;;;;;;;;;;;;
2017-12-01;4578;4578186;16:35:01;182;baguette;pain;0,9;3;cristaline;eau;1,2;2;Candia;lait;1,2;2;couches;enfant;7,9;2;;;;
2017-12-01;4578;4578187;16:45:01;183;ampoule;bazare;7,9;2;cristaline;eau;1,2;2;cabillaud;poisson;6,7;2;;;;;;;;
2017-12-01;4578;4578188;16:55:01;184;cabillaud;poisson;6,7;2;perrier;eau;3;1;;;;;;;;;;;;
2017-12-01;1454;1454189;17:05:01;185;activia;yaourt;3,5;1;cola;soda;1,3;1;farine;farine;0,8;1;couches;enfant;7,9;2;;;;
2017-12-01;1454;1454190;17:15:01;186;cola;soda;1,3;1;granola;dejeuner;1,8;1;possette;enfant;300;1;couches;enfant;7,9;2;;;;
2017-12-01;1454;1454191;17:25:01;187;parmesan;fromage;2;1;abricot;fruits;1,8;2;couches;enfant;7,9;2;;;;;;;;
2017-12-01;1454;1454192;17:35:01;188;farine;farine;0,8;1;adoucissant;entretient maison;3;2;cristaline;eau;1,2;1;;;;;;;;
2017-12-01;1454;1454193;17:45:01;189;Candia;lait;1,2;2;liquide vaisselle;entretient maison;1,8;2;;;;;;;;;;;;
2017-12-01;1454;1454194;17:55:01;190;couches;enfant;7,9;2;baguette;pain;0,9;3;cristaline;eau;1,2;2;couches;enfant;7,9;2;couches;enfant;7,9;2
2017-12-01;1454;1454195;18:05:01;191;cristaline;eau;1,2;2;cristaline;eau;1,2;2;;;;;;;;;;;;
2017-12-01;1454;1454196;18:15:01;192;perrier;eau;3;1;perrier;eau;3;1;;;;;;;;;;;;
2017-12-01;1454;1454197;18:25:01;193;orangina;soda;1,8;2;Candia;lait;1,2;2;couches;enfant;7,9;2;;;;;;;;
2017-12-01;1454;1454198;18:35:01;194;fanta;soda;2;2;Candia;lait;1,2;2;couches;enfant;7,9;2;;;;;;;;
2017-12-01;1454;1454199;18:45:01;195;possette;enfant;300;1;couches;enfant;7,9;2;;;;;;;;;;;;
2017-12-01;1454;1454200;18:55:01;196;couches;enfant;7,9;2;cristaline;eau;1,2;2;Candia;lait;1,2;2;couches;enfant;7,9;2;;;;
2017-12-01;1232;1232201;19:05:01;197;Iphone 10;hi-tech;899;1;perrier;eau;3;1;;;;;;;;;;;;
2017-12-01;1232;1232202;19:15:01;198;Ipad;hi-tech;599;1;couches;enfant;7,9;2;;;;;;;;;;;;
